"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119988";"France";"Big, rich and off-dry, this is powered by intense spiciness and rounded texture. Lychees dominate the fruit profile, giving an opulent feel to the aftertaste. Drink now.";"Lieu-dit Harth Cuvée Caroline";"90";"21";"Alsace";"Alsace";"Rоgеr Vоss";"Domaine Schoffit 2012 Lieu-dit Harth Cuvée Caroline Gewurztraminer (Alsace)";"Gewürztraminer";"Domaine Schoffit"
"119988";"France";"Big, rich and off-dry, this is powered by intense spiciness and rounded texture. Lychees dominate the fruit profile, giving an opulent feel to the aftertaste. Drink now.";"Lieu-dit Harth Cuvée Caroline";"90";"21";"Alsace";"Alsace";"Roger Voss";"Domaine Schoffit 2012 Lieu-dit Harth Cuvée Caroline Gewurztraminer (Alsace)";"Gewürztraminer";"Domaine Schoffit"
"119987";"France";"A dry style of Pinot Gris, this is crisp with some acidity. It also has weight and a solid, powerful core of spice and baked apple flavors. With its structure still developing, the wine needs to age. Drink from 2015.";NA;"90";"32";"Alsace";"Alsace";"Roger Voss";"Domaine Marcel Deiss 2012 Pinot Gris (Alsace)";"Pinot Gris";"Domaine Marcel Deiss"
"119986";"France";"Well-drained gravel soil gives this wine its crisp and dry character. It is ripe and fruity, although the spice is subdued in favor of a more serious structure. This is a wine to age for a couple of years, so drink from 2017.";"Kritt";"90";"30";"Alsace";"Alsace";"Roger Voss";"Domaine Gresser 2013 Kritt Gewurztraminer (Alsace)";"Gewürztraminer";"Domaine Gresser"
"119983";"France";"While it's rich, this beautiful dry wine also offers considerable freshness. Acidity cuts easily through the ripe white fruit, pear and red apples, allowing room for spice that provides a contrasting aftertaste.";"Seppi Landmann Vallée Noble";"90";"28";"Alsace";"Alsace";"Roger Voss";"Domaine Rieflé-Landmann 2013 Seppi Landmann Vallée Noble Pinot Gris (Alsace)";"Pinot Gris";"Domaine Rieflé-Landmann"
"119982";"France";"Initially quite muted, this wine slowly develops impressive richness and spice. It's not sweet, more medium dry, with the spice forming a core of dryness that contrasts with the honeyed texture. It can develop more, so wait to drink until 2016.";"Domaine Saint-Rémy Herrenweg";"90";NA;"Alsace";"Alsace";"Roger Voss";"Domaine Ehrhart 2013 Domaine Saint-Rémy Herrenweg Gewurztraminer (Alsace)";"Gewürztraminer";"Domaine Ehrhart"
"119977";"France";"The granite soil of the Brand Grand Cru vineyard has produced a strongly structured wine that also has richness and ripe fruits. Off dry, it has a hint of honey as well as yellow fruits and pears. The aftertaste brings out the acidity and freshness that balance the wine. Drink from 2017.";"Brand Grand Cru";"90";"57";"Alsace";"Alsace";"Roger Voss";"Cave de Turckheim 2010 Brand Grand Cru Pinot Gris (Alsace)";"Pinot Gris";"Cave de Turckheim"
"119969";"France";"Hugely spicy this rich wine is described as sweet. In fact, the spice gives it a drier edge, adding pepper and cinnamon as well as a mineral character from the granite soil. The wine could age, so drink from 2016.";"Holder";"90";"30";"Alsace";"Alsace";"Rоger Vоss";"Henri Schoenheitz 2012 Holder Gewurztraminer (Alsace)";"Gewürztraminer";"Henri Schoenheitz"
"119954";"France";"A blend from several premier cru vineyards in Pommard, here is a wine that exhibits just the right firm but dusty tannins of the appellation. But because it is 2005, the natural exuberance of the fruit is also there, lively red berries under the dry structure. It needs some aging, but already the richness is there, along with a smoky aftertaste.";"Premier Cru";"91";"66";"Burgundy";"Pommard";"Rogеr Voss";"Bouchard Père & Fils 2005 Premier Cru  (Pommard)";"Pinot Noir";"Bouchard Père & Fils"
"119954";"France";"A blend from several premier cru vineyards in Pommard, here is a wine that exhibits just the right firm but dusty tannins of the appellation. But because it is 2005, the natural exuberance of the fruit is also there, lively red berries under the dry structure. It needs some aging, but already the richness is there, along with a smoky aftertaste.";"Premier Cru";"91";"66";"Burgundy";"Pommard";"Rogеr Voss";"Bouchard Père & Fils 2005 Premier Cru  (Pommard)";"Pinot Noir";"Bouchard Père & Fils"
"119949";"France";"A powerful, chunky wine, packed with solid tannins that promise good aging. It has a sense of drama in its spice, dark tannins and spacious fruit. This is going to develop well over 5–10 years.";NA;"91";"107";"Burgundy";"Grands-Echezeaux";"Roger Voss";"Henri de Villamont 2005  Grands-Echezeaux";"Pinot Noir";"Henri de Villamont"
"119924";"France";"This full-bodied, lush white is mainly Grenache Blanc (70%), so I'd opt for drinking it over the next few years. Marshmallow and peach notes combine easily, then finish long and honeyed.";NA;"91";"44";"Rhône Valley";"Châteauneuf-du-Pape";"Joe Czerwinski";"Château Maucoil 2014 White (Châteauneuf-du-Pape)";"Rhône-style White Blend";"Château Maucoil"
"119922";"France";"A fine value for a northern Rhône of this quality, this bottling from the Tain cooperative is full bodied and ripe, but with enough acidity for balance. Modest pear and melon flavors evolve on the palate into bolder honey and bergamot notes on the long finish. Drink now.";"Grand Classique";"91";"27";"Rhône Valley";"Saint-Péray";"Joe Czerwinski";"Cave de Tain 2015 Grand Classique Marsanne (Saint-Péray)";"Marsanne";"Cave de Tain"
"119922";"France";"A fine value for a northern Rhône of this quality, this bottling from the Tain cooperative is full bodied and ripe, but with enough acidity for balance. Modest pear and melon flavors evolve on the palate into bolder honey and bergamot notes on the long finish. Drink now.";"Grand Classique";"91";"27";"Rhône Valley";"Saint-Péray";"Joe Czerwinski";"Cave de Tain 2015 Grand Classique Marsanne (Saint-Péray)";"Marsanne";"Cave de Tain"
"119913";"France";"Despite its proximity to Bordeaux, the Marmandais has managed to retain Abouriou as its own grape variety. As part of its conservatory of some of the more obscure grape varieties, this producer has made this fine and fruity wine. It is smoky with attractive tannins and swathes of juicy black fruits. It's a fine wine to drink now.";NA;"91";"15";"Southwest France";"Côtes du Marmandais";"Rоger Vоss";"Lionel Osmin & Cie 2014 Abouriou (Côtes du Marmandais)";"Abouriou";"Lionel Osmin & Cie"
"119908";"France";"Saint-Péray is an tiny and underappreciated source of northern Rhône whites, mainly Marsanne, with some Roussanne in the mix. This barrel-fermented version is rich and full-bodied, boasting melon and pineapple fruit flavors that take on hints of creamed corn and citrus on the finish. Drink now.";"La Belle de Mai";"91";"40";"Rhône Valley";"Saint-Péray";"Jоe Czerwinski";"Jean-Luc Colombo 2015 La Belle de Mai Roussanne-Marsanne (Saint-Péray)";"Roussanne-Marsanne";"Jean-Luc Colombo"
"119908";"France";"Saint-Péray is an tiny and underappreciated source of northern Rhône whites, mainly Marsanne, with some Roussanne in the mix. This barrel-fermented version is rich and full-bodied, boasting melon and pineapple fruit flavors that take on hints of creamed corn and citrus on the finish. Drink now.";"La Belle de Mai";"91";"40";"Rhône Valley";"Saint-Péray";"Jоe Czerwinski";"Jean-Luc Colombo 2015 La Belle de Mai Roussanne-Marsanne (Saint-Péray)";"Roussanne-Marsanne";"Jean-Luc Colombo"
"119901";"France";"This is a delicious, ripe and fruity wine that comes from the south of Beaujolais. It has ripe red-berry fruits and soft tannins allied to a juicy acidity that keeps it all fresh. Drink now.";"L'Ancien";"90";"19";"Beaujolais";"Beaujolais";"Rоgеr Vоss";"Domaine des Terres Dorées 2015 L'Ancien  (Beaujolais)";"Gamay";"Domaine des Terres Dorées"
"119900";"France";"The Gelin family has produced a rich style of wine, full of red-berry and cherry fruit. The wine is concentrated and full-bodied, giving a deliciously ripe character. The tannins are there adding support and extra density. Drink now.";NA;"90";"25";"Beaujolais";"Beaujolais-Villages";"Rogеr Voss";"Domaine des Nugues 2015  Beaujolais-Villages";"Gamay";"Domaine des Nugues"
"119898";"France";"The middle wine in the trilogy of wines from the Molinié family at Ponzac, this is a ripe wine that has density, some firm tannins and rich black-plum fruit flavors. It is concentrated and firm at first and then fills out with the richness. Drink this wine from 2018.";"Patiemment";"90";"23";"Southwest France";"Cahors";"Roger Voss";"Château Ponzac 2014 Patiemment Malbec (Cahors)";"Malbec";"Château Ponzac"
"119896";"France";"A reticent nose on this wine tells only of earth and faint citrus at this point. The uncompromisingly dry palate however, is perfumed with conifer and citrus zest around a fluid, concentrated center. The tart, super-clean lemon finish tingles enticingly.";NA;"90";"13";"Alsace";"Alsace";"Annе Krеbiеhl MW";"Boeckel 2015 Riesling (Alsace)";"Riesling";"Boeckel"
"119878";"France";"Notes of herb and stone color the subdued fruit of the nose on this wine. The medium-sweet palate reveals a more honeyed nature, hemmed in by a pithy, almost earthy bitterness of citrus peel, giving both balance and texture. The long finish is concentrated.";"Cuvée Saint Jacques";"90";"20";"Alsace";"Alsace";"Anne Krebiehl MW";"Frédéric Mallo 2013 Cuvée Saint Jacques Riesling (Alsace)";"Riesling";"Frédéric Mallo"
"119864";"France";"Although initially austere, this wine then opens out well, giving a firm and structured character. There are spice, solid dry tannins and a fine layer of berry fruits, finishing off with lively acidity.";NA;"86";"19";"Bordeaux";"Médoc";"Roger Voss";"Barton & Guestier 2006  Médoc";"Bordeaux-style Red Blend";"Barton & Guestier"
"119863";"France";"Delicate aromas of stone fruits and gardenia open this pretty little wine. The palate is not intense, but has genuinely appealing apricot notes and zesty acidity which carry through to the mineral-tinged finish.";"Réserve Spéciale";"86";"13";"Languedoc-Roussillon";"Vin de Pays d'Oc";NA;"Gérard Bertrand 2007 Réserve Spéciale Viognier (Vin de Pays d'Oc)";"Viognier";"Gérard Bertrand"
