"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119980";"Italy";"Blackberry, cassis, grilled herb and toasted aromas come together in the glass. On the palate, espresso, mint and black pepper add depth to the core of black cherry and blackberry flavors. It finishes on a licorice note.";"Sàgana Tenuta San Giacomo";"90";"40";"Sicily & Sardinia";"Sicilia";"Kerin O’Keefe";"Cusumano 2012 Sàgana Tenuta San Giacomo Nero d'Avola (Sicilia)";"Nero d'Avola";"Cusumano"
"119979";"Italy";"Intense aromas of wild cherry, baking spice, tilled soil and savory herb lead the nose on this soulful, silky red. The round, smooth palate doles out juicy red cherry, strawberry jelly, mineral, white pepper and an intriguing note of zabaglione alongside soft, supple tannins and bright acidity..";NA;"90";"30";"Sicily & Sardinia";"Sicilia";"Kerin O’Keefe";"COS 2013 Frappato (Sicilia)";"Frappato";"COS"
"119965";"Italy";"A blend of 65% Cabernet Sauvignon, 30% Merlot and 5% Petit Verdot, this bold wine features aromas of spiced plum, blackcurrant, leather and a hint of coconut. On the palate, assertive tannins support the mature blackberry, espresso and licorice flavors.";"Symposio";"90";"20";"Sicily & Sardinia";"Terre Siciliane";"Kеrin O’Kееfе";"Feudo Principi di Butera 2012 Symposio Red (Terre Siciliane)";"Red Blend";"Feudo Principi di Butera"
"119965";"Italy";"A blend of 65% Cabernet Sauvignon, 30% Merlot and 5% Petit Verdot, this bold wine features aromas of spiced plum, blackcurrant, leather and a hint of coconut. On the palate, assertive tannins support the mature blackberry, espresso and licorice flavors.";"Symposio";"90";"20";"Sicily & Sardinia";"Terre Siciliane";"Kеrin O’Kееfе";"Feudo Principi di Butera 2012 Symposio Red (Terre Siciliane)";"Red Blend";"Feudo Principi di Butera"
"119961";"Italy";"A blend of Nero d'Avola and Syrah, this conveys aromas of scorched earth, crushed flower, dark berry and a whiff of cooking spice. The palate offers ripe cherry, graphite, ground black pepper and a smoky note alongside velvety tannins.";"Adènzia";"90";"29";"Sicily & Sardinia";"Sicilia";"Kerin O’Keefe";"Baglio del Cristo di Campobello 2012 Adènzia Red (Sicilia)";"Red Blend";"Baglio del Cristo di Campobello"
"119961";"Italy";"A blend of Nero d'Avola and Syrah, this conveys aromas of scorched earth, crushed flower, dark berry and a whiff of cooking spice. The palate offers ripe cherry, graphite, ground black pepper and a smoky note alongside velvety tannins.";"Adènzia";"90";"29";"Sicily & Sardinia";"Sicilia";"Kerin O’Keefe";"Baglio del Cristo di Campobello 2012 Adènzia Red (Sicilia)";"Red Blend";"Baglio del Cristo di Campobello"
"119947";"Italy";"This luminous sparkler has a sweet, fruit-forward nose of cool white peach, sliced banana and cherry blossoms. There's a very slight note of green grass and more distinguishable mineral tones that add depth and personality. In the mouth it has a creamy, soft texture and vibrant fruit flavors.";NA;"91";"38";"Veneto";"Prosecco Superiore di Cartizze";NA;"Col Vetoraz Spumanti NV  Prosecco Superiore di Cartizze";"Prosecco";"Col Vetoraz Spumanti"
"119912";"Italy";"Aromas of passion fruit, hay and a vegetal note lead the nose while the bright fresh palate doles provides juicy nectarine, creamy peach and pear. A hint of mineral and white almond close the lingering finish.";"Corte Menini";"91";NA;"Veneto";"Soave Classico";"Kеrin O’Kееfе";"Le Mandolare 2015 Corte Menini  (Soave Classico)";"Garganega";"Le Mandolare"
"119911";"Italy";"Classic Sangiovese aromas of red berry, culinary spice, crushed herb, tobacco and a whiff of new leather float from the glass. The juicy full-bodied palate delivers fleshy wild cherry, raspberry compote, vanilla and star anise framed in firm, refined tannins. Fresh acidity lends balance. Drink 2019–2027.";NA;"91";"72";"Tuscany";"Brunello di Montalcino";"Kerin O’Keefe";"La Mannella 2012  Brunello di Montalcino";"Sangiovese";"La Mannella"
"119911";"Italy";"Classic Sangiovese aromas of red berry, culinary spice, crushed herb, tobacco and a whiff of new leather float from the glass. The juicy full-bodied palate delivers fleshy wild cherry, raspberry compote, vanilla and star anise framed in firm, refined tannins. Fresh acidity lends balance. Drink 2019–2027.";NA;"91";"72";"Tuscany";"Brunello di Montalcino";"Kerin O’Keefe";"La Mannella 2012  Brunello di Montalcino";"Sangiovese";"La Mannella"
"119877";"Italy";"Here's an easy blend of Cabernet Sauvignon and Shiraz from Sicily with sweet, jammy fruit and a smooth approach on the palate. The wine is redolent of white peppercorn, blackberry and clove.";NA;"86";"10";"Sicily & Sardinia";"Sicilia";NA;"MandraRossa 2006 Cabernet Sauvignon-Shiraz (Sicilia)";"Cabernet Sauvignon-Shiraz";"MandraRossa"
"119876";"Italy";"Almond paste and crushed pistachio nut characterize this fresh Nero d'Avola from Sicily. The wine would make a perfect partner to tomato pasta sauce or pizza.";NA;"86";"10";"Sicily & Sardinia";"Sicilia";NA;"MandraRossa 2006 Nero d'Avola (Sicilia)";"Nero d'Avola";"MandraRossa"
"119875";"Italy";"Here's an Aglianico from Campania with bright cherry flavors, almond nut nuances and lasting shadings of mineral and earth. It offers bright fruit in the mouth and a crisp but firm close.";NA;"86";"24";"Southern Italy";"Campania";NA;"Macchialupa 2006 Aglianico (Campania)";"Aglianico";"Macchialupa"
"119875";"Italy";"Here's an Aglianico from Campania with bright cherry flavors, almond nut nuances and lasting shadings of mineral and earth. It offers bright fruit in the mouth and a crisp but firm close.";NA;"86";"24";"Southern Italy";"Campania";NA;"Macchialupa 2006 Aglianico (Campania)";"Aglianico";"Macchialupa"
"119874";"Italy";"This 100% expression of Corvina offers pointed aromas of red apple skin, cola, almond Amaretto and Indian spice. It's an easy-drinking, ruby-colored wine with fresh acidity that could stand up to creamy pasta dishes.";"Vignenuove";"86";"20";"Veneto";"Veneto";NA;"Luciana Cordioli 2006 Vignenuove Corvina (Veneto)";"Corvina";"Luciana Cordioli"
