iter	Passed	Remaining
0	186	186253
1	239	119362
2	278	92539
3	317	78938
4	346	68905
5	387	64211
6	429	60974
7	467	57959
8	482	53146
9	525	52031
10	578	52051
11	626	51551
12	635	48233
13	676	47678
14	719	47241
15	761	46852
16	807	46701
17	859	46867
18	903	46626
19	947	46417
20	990	46156
21	1046	46538
22	1085	46106
23	1127	45838
24	1169	45608
25	1184	44379
26	1226	44203
27	1269	44053
28	1310	43881
29	1351	43707
30	1393	43549
31	1436	43464
32	1478	43330
33	1521	43232
34	1562	43082
35	1606	43016
36	1647	42884
37	1663	42100
38	1697	41821
39	1738	41719
40	1780	41634
41	1822	41567
42	1864	41492
43	1905	41410
44	1947	41334
45	1989	41251
46	2031	41195
47	2052	40714
48	2080	40382
49	2122	40325
50	2165	40290
51	2206	40224
52	2249	40186
53	2290	40130
54	2331	40067
55	2375	40042
56	2416	39979
57	2457	39920
58	2500	39875
59	2542	39832
60	2576	39665
61	2584	39106
62	2626	39063
63	2669	39042
64	2685	38628
65	2693	38124
66	2736	38108
67	2746	37647
68	2788	37620
69	2829	37586
70	2871	37578
71	2913	37553
72	2955	37532
73	2997	37509
74	3039	37484
75	3073	37372
76	3118	37386
77	3161	37374
78	3203	37344
79	3243	37305
80	3286	37291
81	3327	37253
82	3342	36927
83	3384	36904
84	3392	36522
85	3414	36287
86	3462	36340
87	3506	36341
88	3550	36344
89	3593	36330
90	3636	36329
91	3679	36310
92	3720	36288
93	3742	36072
94	3783	36045
95	3823	36008
96	3864	35972
97	3905	35949
98	3947	35928
99	3989	35901
100	4029	35869
101	4070	35837
102	4104	35746
103	4120	35496
104	4160	35465
105	4217	35567
106	4262	35571
107	4304	35551
108	4346	35532
109	4390	35521
110	4432	35499
111	4473	35468
112	4514	35433
113	4562	35458
114	4603	35427
115	4645	35405
116	4687	35373
117	4731	35362
118	4774	35348
119	4815	35313
120	4858	35295
121	4901	35276
122	4944	35251
123	4965	35078
124	5009	35066
125	5037	34945
126	5078	34912
127	5121	34889
128	5164	34868
129	5206	34844
130	5247	34810
131	5289	34782
132	5330	34749
133	5373	34726
134	5415	34697
135	5453	34643
136	5496	34624
137	5539	34603
138	5581	34572
139	5623	34546
140	5668	34533
141	5715	34534
142	5758	34512
143	5808	34526
144	5851	34504
145	5893	34473
146	5934	34437
147	5976	34403
148	6019	34380
149	6063	34358
150	6097	34284
151	6141	34260
152	6183	34232
153	6226	34206
154	6276	34215
155	6320	34195
156	6368	34195
157	6414	34183
158	6462	34182
159	6505	34153
160	6547	34121
161	6589	34084
162	6635	34073
163	6678	34045
164	6720	34012
165	6762	33977
166	6813	33984
167	6855	33951
168	6910	33980
169	6959	33976
170	7009	33980
171	7031	33850
172	7079	33841
173	7108	33745
174	7152	33717
175	7194	33683
176	7236	33648
177	7278	33611
178	7320	33574
179	7360	33530
180	7398	33479
181	7440	33441
182	7482	33407
183	7528	33385
184	7568	33342
185	7608	33299
186	7651	33266
187	7693	33229
188	7735	33193
189	7777	33157
190	7819	33122
191	7864	33097
192	7906	33061
193	7949	33026
194	7992	32996
195	8034	32957
196	8062	32863
197	8083	32743
198	8125	32705
199	8169	32677
200	8210	32637
201	8251	32598
202	8295	32570
203	8337	32531
204	8378	32492
205	8422	32462
206	8465	32429
207	8507	32394
208	8523	32260
209	8572	32250
210	8619	32233
211	8662	32199
212	8684	32088
213	8712	31999
214	8754	31963
215	8799	31937
216	8823	31837
217	8875	31836
218	8924	31825
219	8972	31809
220	9017	31784
221	9059	31747
222	9106	31728
223	9150	31698
224	9227	31783
225	9286	31804
226	9352	31849
227	9400	31830
228	9443	31795
229	9487	31764
230	9532	31734
231	9576	31700
232	9618	31662
233	9660	31623
234	9702	31584
235	9744	31545
236	9788	31512
237	9830	31474
238	9872	31436
239	9915	31398
240	9958	31364
241	10035	31434
242	10085	31419
243	10128	31380
244	10171	31344
245	10215	31311
246	10258	31273
247	10301	31236
248	10344	31200
249	10387	31163
250	10430	31123
251	10438	30984
252	10480	30944
253	10522	30903
254	10563	30861
255	10605	30823
256	10647	30783
257	10691	30747
258	10720	30670
259	10762	30632
260	10805	30593
261	10827	30499
262	10868	30456
263	10911	30420
264	10993	30492
265	11042	30470
266	11088	30442
267	11130	30401
268	11171	30357
269	11214	30321
270	11255	30278
271	11298	30240
272	11307	30110
273	11348	30070
274	11390	30029
275	11432	29988
276	11474	29950
277	11515	29907
278	11557	29866
279	11598	29824
280	11640	29785
281	11681	29742
282	11736	29735
283	11800	29750
284	11857	29747
285	11910	29734
286	11960	29714
287	11978	29612
288	12021	29575
289	12064	29538
290	12109	29504
291	12167	29501
292	12188	29409
293	12241	29396
294	12285	29360
295	12328	29320
296	12371	29282
297	12412	29239
298	12427	29135
299	12472	29101
300	12488	29000
301	12496	28882
302	12538	28843
303	12579	28800
304	12622	28762
305	12663	28720
306	12705	28681
307	12747	28639
308	12788	28597
309	12831	28559
310	12873	28520
311	12915	28479
312	12958	28441
313	12999	28399
314	13041	28360
315	13086	28325
316	13129	28287
317	13173	28251
318	13215	28211
319	13261	28179
320	13303	28139
321	13347	28104
322	13369	28021
323	13409	27978
324	13451	27937
325	13494	27898
326	13546	27879
327	13612	27889
328	13655	27851
329	13678	27770
330	13720	27731
331	13763	27692
332	13807	27655
333	13849	27616
334	13892	27578
335	13922	27512
336	13967	27478
337	14011	27442
338	14059	27413
339	14106	27382
340	14149	27344
341	14202	27325
342	14270	27334
343	14315	27299
344	14358	27259
345	14401	27221
346	14445	27184
347	14487	27143
348	14529	27101
349	14586	27088
350	14663	27111
351	14719	27097
352	14764	27060
353	14807	27022
354	14852	26985
355	14893	26942
356	14936	26901
357	14976	26858
358	15019	26816
359	15062	26778
360	15105	26737
361	15169	26735
362	15228	26723
363	15285	26707
364	15341	26689
365	15400	26677
366	15433	26620
367	15477	26580
368	15518	26536
369	15533	26448
370	15576	26409
371	15618	26365
372	15633	26278
373	15673	26234
374	15715	26192
375	15756	26148
376	15797	26105
377	15838	26063
378	15882	26024
379	15942	26012
380	15998	25992
381	16058	25979
382	16114	25959
383	16159	25922
384	16201	25880
385	16246	25843
386	16268	25769
387	16312	25729
388	16354	25688
389	16395	25643
390	16410	25560
391	16452	25517
392	16496	25478
393	16518	25405
394	16559	25363
395	16601	25321
396	16644	25281
397	16688	25242
398	16728	25197
399	16768	25153
400	16784	25071
401	16827	25032
402	16869	24990
403	16911	24949
404	16953	24907
405	16997	24868
406	17012	24787
407	17052	24743
408	17095	24703
409	17143	24669
410	17170	24607
411	17213	24567
412	17258	24529
413	17300	24487
414	17344	24449
415	17385	24406
416	17427	24365
417	17448	24294
418	17489	24252
419	17534	24214
420	17576	24172
421	17616	24128
422	17657	24086
423	17699	24044
424	17740	24002
425	17782	23959
426	17824	23918
427	17866	23877
428	17909	23837
429	17952	23797
430	17995	23757
431	18037	23715
432	18079	23674
433	18122	23634
434	18162	23590
435	18206	23551
436	18249	23512
437	18292	23471
438	18336	23432
439	18378	23390
440	18422	23352
441	18466	23313
442	18507	23270
443	18550	23229
444	18593	23189
445	18634	23146
446	18649	23072
447	18692	23031
448	18734	22990
449	18776	22949
450	18785	22867
451	18828	22827
452	18872	22788
453	18915	22748
454	18957	22707
455	18997	22664
456	19040	22623
457	19082	22582
458	19126	22543
459	19168	22502
460	19210	22460
461	19254	22421
462	19296	22380
463	19340	22341
464	19383	22301
465	19423	22257
466	19466	22217
467	19508	22176
468	19551	22136
469	19593	22094
470	19635	22053
471	19677	22011
472	19720	21972
473	19763	21931
474	19804	21888
475	19845	21847
476	19888	21806
477	19930	21765
478	19974	21725
479	20017	21685
480	20071	21657
481	20114	21616
482	20155	21574
483	20196	21531
484	20211	21461
485	20252	21419
486	20295	21378
487	20337	21337
488	20380	21297
489	20422	21256
490	20465	21215
491	20507	21174
492	20551	21135
493	20593	21093
494	20635	21052
495	20678	21011
496	20721	20971
497	20763	20930
498	20801	20884
499	20844	20844
500	20889	20806
501	20933	20766
502	20976	20726
503	21020	20687
504	21063	20646
505	21105	20605
506	21152	20568
507	21196	20529
508	21238	20487
509	21280	20446
510	21322	20404
511	21367	20366
512	21410	20325
513	21453	20284
514	21496	20244
515	21539	20203
516	21582	20163
517	21626	20123
518	21669	20082
519	21710	20040
520	21753	19999
521	21793	19956
522	21834	19914
523	21876	19872
524	21919	19831
525	21961	19790
526	22003	19749
527	22048	19709
528	22091	19668
529	22133	19627
530	22174	19585
531	22216	19543
532	22260	19504
533	22303	19463
534	22345	19421
535	22387	19380
536	22430	19339
537	22479	19304
538	22494	19239
539	22543	19204
540	22585	19162
541	22628	19121
542	22673	19082
543	22738	19060
544	22793	19029
545	22851	19000
546	22903	18967
547	22945	18926
548	22989	18886
549	23033	18845
550	23090	18816
551	23150	18789
552	23208	18759
553	23260	18726
554	23314	18693
555	23365	18658
556	23413	18621
557	23454	18578
558	23496	18536
559	23537	18493
560	23579	18452
561	23621	18409
562	23663	18367
563	23705	18325
564	23747	18283
565	23788	18240
566	23830	18198
567	23870	18155
568	23915	18115
569	23958	18073
570	24011	18039
571	24062	18004
572	24117	17972
573	24174	17941
574	24233	17911
575	24286	17877
576	24332	17837
577	24378	17798
578	24425	17760
579	24487	17732
580	24551	17705
581	24622	17683
582	24699	17666
583	24741	17624
584	24784	17582
585	24825	17539
586	24868	17497
587	24910	17454
588	24953	17412
589	24995	17369
590	25037	17327
591	25078	17283
592	25120	17240
593	25163	17199
594	25211	17161
595	25259	17122
596	25357	17117
597	25425	17092
598	25476	17055
599	25518	17012
600	25562	16970
601	25603	16927
602	25645	16884
603	25686	16840
604	25727	16797
605	25769	16754
606	25811	16711
607	25853	16668
608	25893	16624
609	25936	16582
610	25996	16551
611	26053	16517
612	26106	16481
613	26161	16446
614	26213	16409
615	26254	16366
616	26296	16323
617	26338	16280
618	26380	16237
619	26423	16194
620	26467	16153
621	26510	16110
622	26552	16067
623	26595	16025
624	26636	15982
625	26678	15938
626	26719	15895
627	26761	15852
628	26803	15809
629	26844	15765
630	26888	15723
631	26931	15681
632	26974	15638
633	27016	15596
634	27063	15556
635	27106	15513
636	27148	15470
637	27191	15428
638	27235	15386
639	27277	15343
640	27317	15299
641	27360	15256
642	27404	15215
643	27446	15172
644	27490	15130
645	27533	15088
646	27576	15045
647	27616	15001
648	27657	14958
649	27700	14915
650	27743	14872
651	27785	14830
652	27828	14787
653	27869	14744
654	27912	14701
655	27955	14659
656	27996	14616
657	28039	14573
658	28080	14530
659	28123	14487
660	28165	14445
661	28208	14402
662	28251	14359
663	28295	14318
664	28338	14275
665	28380	14232
666	28424	14190
667	28465	14147
668	28507	14104
669	28550	14062
670	28591	14018
671	28634	13976
672	28677	13934
673	28719	13891
674	28763	13849
675	28806	13806
676	28849	13764
677	28892	13721
678	28935	13679
679	28976	13636
680	29019	13593
681	29061	13550
682	29103	13507
683	29146	13465
684	29189	13422
685	29232	13380
686	29274	13337
687	29316	13294
688	29359	13252
689	29402	13209
690	29445	13167
691	29489	13125
692	29530	13082
693	29576	13040
694	29628	13002
695	29688	12967
696	29743	12929
697	29785	12887
698	29828	12844
699	29869	12801
700	29912	12758
701	29972	12723
702	30031	12687
703	30086	12650
704	30127	12606
705	30169	12563
706	30211	12520
707	30254	12477
708	30297	12435
709	30339	12392
710	30379	12348
711	30423	12306
712	30465	12263
713	30508	12220
714	30556	12179
715	30610	12141
716	30664	12103
717	30717	12064
718	30763	12023
719	30804	11979
720	30846	11936
721	30890	11894
722	30933	11851
723	30977	11808
724	31021	11766
725	31065	11724
726	31108	11681
727	31149	11638
728	31199	11598
729	31244	11556
730	31285	11512
731	31326	11469
732	31368	11426
733	31410	11383
734	31454	11340
735	31494	11297
736	31541	11255
737	31595	11216
738	31651	11178
739	31707	11140
740	31763	11102
741	31810	11060
742	31852	11017
743	31895	10974
744	31946	10934
745	32005	10897
746	32064	10859
747	32120	10821
748	32162	10778
749	32204	10734
750	32245	10691
751	32296	10651
752	32351	10611
753	32407	10573
754	32459	10533
755	32501	10489
756	32545	10447
757	32587	10403
758	32630	10360
759	32672	10317
760	32715	10274
761	32756	10231
762	32799	10187
763	32841	10144
764	32883	10101
765	32926	10058
766	32971	10016
767	33013	9972
768	33055	9929
769	33098	9886
770	33140	9843
771	33182	9800
772	33224	9756
773	33265	9713
774	33309	9670
775	33351	9627
776	33399	9585
777	33448	9544
778	33490	9501
779	33534	9458
780	33578	9415
781	33624	9373
782	33667	9330
783	33709	9287
784	33751	9244
785	33794	9200
786	33849	9161
787	33906	9121
788	33962	9082
789	34023	9044
790	34068	9001
791	34112	8958
792	34157	8916
793	34202	8873
794	34260	8834
795	34324	8796
796	34381	8757
797	34434	8716
798	34477	8673
799	34518	8629
800	34559	8585
801	34601	8542
802	34646	8499
803	34701	8459
804	34755	8418
805	34812	8379
806	34868	8339
807	34911	8295
808	34954	8252
809	34999	8209
810	35044	8166
811	35086	8123
812	35128	8079
813	35170	8036
814	35211	7992
815	35253	7949
816	35295	7905
817	35337	7862
818	35380	7819
819	35425	7776
820	35477	7735
821	35522	7692
822	35566	7649
823	35608	7605
824	35649	7562
825	35694	7519
826	35737	7475
827	35782	7432
828	35823	7389
829	35866	7346
830	35910	7303
831	35952	7259
832	35992	7215
833	36035	7172
834	36078	7129
835	36120	7085
836	36161	7042
837	36204	6998
838	36246	6955
839	36287	6911
840	36331	6868
841	36373	6825
842	36416	6782
843	36459	6738
844	36501	6695
845	36544	6652
846	36586	6608
847	36628	6565
848	36669	6521
849	36711	6478
850	36755	6435
851	36798	6392
852	36840	6348
853	36881	6305
854	36925	6262
855	36968	6219
856	37013	6176
857	37056	6132
858	37098	6089
859	37142	6046
860	37185	6003
861	37228	5959
862	37269	5916
863	37311	5873
864	37353	5829
865	37395	5786
866	37437	5743
867	37480	5699
868	37525	5656
869	37565	5613
870	37608	5569
871	37651	5526
872	37694	5483
873	37736	5440
874	37777	5396
875	37823	5354
876	37866	5310
877	37908	5267
878	37948	5223
879	37989	5180
880	38032	5137
881	38073	5093
882	38115	5050
883	38157	5007
884	38198	4963
885	38239	4920
886	38281	4876
887	38323	4833
888	38365	4790
889	38407	4747
890	38449	4703
891	38490	4660
892	38533	4617
893	38574	4573
894	38616	4530
895	38658	4487
896	38700	4443
897	38741	4400
898	38779	4356
899	38822	4313
900	38865	4270
901	38910	4227
902	38952	4184
903	38995	4141
904	39041	4098
905	39082	4054
906	39123	4011
907	39166	3968
908	39210	3925
909	39252	3882
910	39298	3839
911	39340	3796
912	39394	3753
913	39437	3710
914	39479	3667
915	39520	3624
916	39562	3580
917	39604	3537
918	39646	3494
919	39689	3451
920	39732	3408
921	39772	3364
922	39814	3321
923	39857	3278
924	39899	3235
925	39943	3191
926	39985	3148
927	40027	3105
928	40068	3062
929	40115	3019
930	40158	2976
931	40201	2933
932	40247	2890
933	40290	2847
934	40333	2803
935	40375	2760
936	40417	2717
937	40458	2674
938	40499	2630
939	40542	2587
940	40584	2544
941	40627	2501
942	40668	2458
943	40712	2415
944	40753	2371
945	40795	2328
946	40838	2285
947	40879	2242
948	40921	2199
949	40962	2155
950	41006	2112
951	41049	2069
952	41092	2026
953	41134	1983
954	41176	1940
955	41225	1897
956	41270	1854
957	41314	1811
958	41355	1768
959	41398	1724
960	41440	1681
961	41482	1638
962	41524	1595
963	41568	1552
964	41610	1509
965	41662	1466
966	41721	1423
967	41777	1381
968	41848	1338
969	41907	1296
970	41954	1253
971	41996	1209
972	42038	1166
973	42081	1123
974	42151	1080
975	42206	1037
976	42264	994
977	42313	951
978	42357	908
979	42401	865
980	42443	822
981	42486	778
982	42530	735
983	42589	692
984	42652	649
985	42705	606
986	42746	563
987	42789	519
988	42847	476
989	42912	433
990	42971	390
991	43018	346
992	43062	303
993	43103	260
994	43144	216
995	43187	173
996	43230	130
997	43272	86
998	43314	43
999	43356	0
