,number,value,datetime_start,datetime_complete,duration,params_index_type,params_n_cells,params_nprobe,params_quantizer_type,params_scaler,state
0,0,0.7742927429274292,2024-05-25 04:17:00.174530,2024-05-25 04:17:30.051553,0 days 00:00:29.877023,IndexIVFFlat,391,25,IndexFlatIP,StandardScaler,COMPLETE
1,1,0.7773677736777368,2024-05-25 04:17:30.054002,2024-05-25 04:17:57.181847,0 days 00:00:27.127845,IndexIVFFlat,309,78,IndexFlatIP,RobustScaler,COMPLETE
2,2,0.781980319803198,2024-05-25 04:17:57.183857,2024-05-25 04:18:29.887044,0 days 00:00:32.703187,IndexIVFFlat,38,86,IndexFlatIP,RobustScaler,COMPLETE
3,3,0.781980319803198,2024-05-25 04:18:29.889029,2024-05-25 04:19:01.772903,0 days 00:00:31.883874,IndexIVFFlat,14,37,IndexFlatL2,RobustScaler,COMPLETE
4,4,0.752050020500205,2024-05-25 04:19:01.773901,2024-05-25 04:19:13.582220,0 days 00:00:11.808319,IndexIVFFlat,25,8,IndexFlatIP,RobustScaler,COMPLETE
5,5,0.7480524805248052,2024-05-25 04:19:13.583228,2024-05-25 04:19:43.297222,0 days 00:00:29.713994,IndexIVFFlat,409,9,IndexFlatL2,RobustScaler,COMPLETE
6,6,0.781980319803198,2024-05-25 04:19:43.299238,2024-05-25 04:20:15.270315,0 days 00:00:31.971077,IndexIVFFlat,10,26,IndexFlatL2,RobustScaler,COMPLETE
7,7,0.766810168101681,2024-05-25 04:20:15.271821,2024-05-25 04:20:52.635142,0 days 00:00:37.363321,IndexIVFFlat,461,26,IndexFlatL2,RobustScaler,COMPLETE
8,8,0.7588150881508815,2024-05-25 04:20:52.637143,2024-05-25 04:21:19.326570,0 days 00:00:26.689427,IndexIVFFlat,389,8,IndexFlatL2,StandardScaler,COMPLETE
9,9,0.7674251742517425,2024-05-25 04:21:19.328568,2024-05-25 04:21:29.760698,0 days 00:00:10.432130,IndexIVFFlat,130,17,IndexFlatL2,RobustScaler,COMPLETE
10,10,0.784440344403444,2024-05-25 04:21:29.762208,2024-05-25 04:21:55.001364,0 days 00:00:25.239156,IndexIVFFlat,172,98,IndexFlatIP,StandardScaler,COMPLETE
11,11,0.7847478474784748,2024-05-25 04:21:55.001906,2024-05-25 04:22:19.177415,0 days 00:00:24.175509,IndexIVFFlat,171,98,IndexFlatIP,StandardScaler,COMPLETE
12,12,0.7841328413284133,2024-05-25 04:22:19.178434,2024-05-25 04:22:43.313068,0 days 00:00:24.134634,IndexIVFFlat,187,99,IndexFlatIP,StandardScaler,COMPLETE
13,13,0.7814678146781467,2024-05-25 04:22:43.315073,2024-05-25 04:23:02.569292,0 days 00:00:19.254219,IndexIVFFlat,225,63,IndexFlatIP,StandardScaler,COMPLETE
14,14,0.784850348503485,2024-05-25 04:23:02.570292,2024-05-25 04:23:30.151703,0 days 00:00:27.581411,IndexIVFFlat,135,100,IndexFlatIP,StandardScaler,COMPLETE
